cve	platform	product	kev_date	reference
CVE-2020-0683	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2020-0683
CVE-2020-0986	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2020-0986
CVE-2020-1027	windows	Windows	2022-05-23	https://www.cve.org/CVERecord?id=CVE-2020-1027
CVE-2020-17087	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2020-17087
CVE-2021-22600	linux	Kernel	2022-04-11	https://www.cve.org/CVERecord?id=CVE-2021-22600
CVE-2021-3156	linux	Sudo	2022-04-06	https://www.cve.org/CVERecord?id=CVE-2021-3156
CVE-2021-31956	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2021-31956
CVE-2021-31979	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2021-31979
CVE-2021-33739	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2021-33739
CVE-2021-33771	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2021-33771
CVE-2021-34484	windows	Windows	2022-03-31	https://www.cve.org/CVERecord?id=CVE-2021-34484
CVE-2021-34486	windows	Windows	2022-03-28	https://www.cve.org/CVERecord?id=CVE-2021-34486
CVE-2021-3493	linux	Kernel	2022-10-20	https://www.cve.org/CVERecord?id=CVE-2021-3493
CVE-2021-3560	linux	Polkit	2023-05-12	https://www.cve.org/CVERecord?id=CVE-2021-3560
CVE-2021-36934	windows	Windows	2022-02-10	https://www.cve.org/CVERecord?id=CVE-2021-36934
CVE-2021-36948	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2021-36948
CVE-2021-36955	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2021-36955
CVE-2021-4034	linux	Polkit	2022-06-27	https://www.cve.org/CVERecord?id=CVE-2021-4034
CVE-2021-40449	windows	Windows	2021-11-17	https://www.cve.org/CVERecord?id=CVE-2021-40449
CVE-2021-41379	windows	Windows	2022-03-03	https://www.cve.org/CVERecord?id=CVE-2021-41379
CVE-2021-43226	windows	Windows	2025-10-06	https://www.cve.org/CVERecord?id=CVE-2021-43226
CVE-2022-0185	linux	Kernel	2024-08-21	https://www.cve.org/CVERecord?id=CVE-2022-0185
